           Size      Time(sec)
              2    1.01058e-07
              4    1.52285e-07
              8    1.95665e-07
             16    3.36899e-07
             32    5.92502e-07
             64    8.10903e-07
            128    1.12858e-06
            256    1.81354e-06
            512    2.83185e-06
           1024    5.17725e-06
           2048    9.70819e-06
           4096    1.81676e-05
           8192    3.59444e-05
          16384     7.0084e-05
          32768    0.000139066
          65536    0.000389647

