           Size      Time(sec)
              2    1.04983e-07
              4    1.57491e-07
              8    3.21349e-07
             16    4.61416e-07
             32    1.26289e-06
             64    3.09451e-06
            128    9.38624e-06
            256    3.47561e-05
            512    0.000131346
           1024    0.000517732
           2048     0.00205476
           4096     0.00825147
           8192      0.0323836
          16384       0.129885
          32768       0.513822
          65536        2.05563

