           Size      Time(sec)
              2    1.46749e-07
              4    2.96508e-07
              8    5.60922e-07
             16    1.11459e-06
             32    2.38099e-06
             64    4.66788e-06
            128    9.37806e-06
            256    1.95028e-05
            512    4.00484e-05
           1024    8.10846e-05
           2048    0.000166928
           4096    0.000347976
           8192    0.000726349
          16384     0.00157754
          32768     0.00324792
          65536     0.00672943
         131072      0.0138292
         262144      0.0282476
         524288      0.0587973
        1048576       0.120008
        2097152        0.25183
        4194304       0.529144

