Size      Time(sec)
              2    1.80968e-07
              4    3.48408e-07
              8    7.34811e-07
             16    1.52696e-06
             32    3.28579e-06
             64    6.64071e-06
            128    1.38311e-05
            256    2.90943e-05
            512    6.02677e-05
           1024    0.000125783
           2048    0.000262019
           4096    0.000551439
           8192     0.00115522
          16384     0.00247649
          32768     0.00516429
          65536      0.0108041
         131072      0.0225214
         262144      0.0466934
         524288      0.0970278
        1048576        0.20058
        2097152       0.416124
        4194304       0.860905

