           Size      Time(sec)
              2    1.48207e-07
              4    2.95819e-07
              8    5.94341e-07
             16    1.23187e-06
             32     2.4453e-06
             64    4.78749e-06
            128    9.76851e-06
            256    2.03909e-05
            512    4.11082e-05
           1024    8.47129e-05
           2048    0.000173802
           4096    0.000364902
           8192    0.000743679
          16384     0.00160775
          32768     0.00334628
          65536     0.00694358
         131072      0.0142665
         262144      0.0292013
         524288      0.0603533
        1048576       0.124194
        2097152       0.259182
        4194304       0.542599

