           Size      Time(sec)
              2    1.57313e-07
              4    3.09802e-07
              8    6.34816e-07
             16    1.25462e-06
             32    2.66568e-06
             64    5.22437e-06
            128    1.04835e-05
            256    2.14513e-05
            512    4.37771e-05
           1024    9.10738e-05
           2048    0.000187364
           4096    0.000388505
           8192    0.000802778
          16384     0.00165407
          32768     0.00341441
          65536      0.0070434
         131072       0.014478
         262144      0.0296569
         524288      0.0612104
        1048576       0.126021
        2097152       0.258701
        4194304       0.540817

