           Size      Time(sec)
              2    9.31519e-08
              4    1.47967e-07
              8     3.6149e-07
             16    5.52358e-07
             32    1.47451e-06
             64    3.84788e-06
            128    1.15074e-05
            256    4.01667e-05
            512    0.000150305
           1024    0.000590292
           2048     0.00228975
           4096     0.00921234
           8192      0.0368417
          16384       0.147968
          32768       0.581649
          65536        2.33574

